Player ID,Player,Team,Number of Agents Played,Rounds Played,Rating,ACS,KD,KAST,ADR,KPR,APR,FKPR,FDPR,HSP,CSP,CL,Kills Max,K,D,A,FK,FD,Performance Category
29,Fit1nho,GIA,2,161,1.04,227.3,1.02,76.0,155.8,0.81,0.19,0.19,0.15,22.0,22.0,02-Sep,34,130,127,31,31,24,Média
30,DaveeyS,KRÜ,2,90,1.03,182.3,1.12,72.0,130.2,0.64,0.17,0.07,0.04,23.0,7.0,Jan-14,21,58,52,15,6,4,Média
31,tuyz,LOUD,4,515,1.02,163.1,0.96,75.0,107.4,0.59,0.48,0.05,0.06,29.0,19.0,14/73,23,304,317,247,26,33,Média
32,Shao,NAVI,4,204,1.02,168.4,0.98,72.0,115.1,0.62,0.34,0.06,0.05,32.0,22.0,Aug-36,24,126,129,70,12,11,Média
33,AtaKaptan,FUT,2,216,1.01,196.7,0.88,70.0,128.5,0.63,0.54,0.09,0.12,30.0,14.0,Mar-22,20,136,154,116,19,25,Média
34,saadhak,LOUD,5,515,1.01,185.7,0.87,73.0,120.1,0.6,0.49,0.1,0.12,19.0,11.0,May-47,21,310,355,252,53,64,Média
35,Zest,DRX,2,283,1.0,200.9,0.98,67.0,133.9,0.7,0.32,0.1,0.11,35.0,21.0,Jul-33,26,197,201,91,28,30,Média
36,mindfreak,PRX,4,358,1.0,164.7,0.97,72.0,110.4,0.6,0.37,0.04,0.05,30.0,20.0,Nov-55,23,214,220,132,13,19,Média
37,f0rsakeN,PRX,5,358,1.0,205.1,1.0,71.0,139.5,0.72,0.34,0.1,0.12,26.0,6.0,Feb-36,30,256,255,121,37,42,Média
38,ZmjjKK,EDG,4,358,0.99,226.4,1.05,65.0,145.1,0.8,0.18,0.14,0.17,18.0,13.0,Apr-30,27,286,273,66,50,62,Média
39,Jinggg,PRX,2,358,0.99,234.1,1.02,72.0,157.0,0.8,0.26,0.16,0.15,22.0,6.0,Jan-17,24,285,279,92,56,55,Média
40,BuZz,DRX,2,283,0.99,228.1,1.02,71.0,146.7,0.78,0.19,0.21,0.19,22.0,8.0,Jan-13,27,221,216,54,60,55,Média
41,Chronicle,FNC,3,270,0.98,169.1,0.89,72.0,113.1,0.58,0.43,0.07,0.05,23.0,,0/18,17,156,176,116,20,14,Média
42,nAts,TL,2,92,0.98,211.3,1.09,76.0,146.6,0.76,0.15,0.11,0.1,28.0,,0/14,34,70,64,14,10,9,Média
43,qRaxs,FUT,2,216,0.98,192.9,0.94,72.0,130.0,0.67,0.42,0.05,0.06,31.0,8.0,Feb-24,20,145,155,91,11,13,Média
44,Boaster,FNC,3,270,0.98,177.6,0.9,72.0,110.2,0.6,0.42,0.1,0.06,23.0,39.0,Nov-28,19,163,182,114,28,16,Média
